K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,MLE,2.2154055492616864,0.15428088319434907,1.8646841204385511,1.3628729707659373,100
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,adaptive,0.3613573106550048,0.033386698920860186,0.2783663177731964,0.22229975529514362,100
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,add-half,0.9523472476296705,0.0501881449000543,0.8300117096709815,0.5858648873613072,100
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,add-one,1.2940590065888913,0.0526463637863326,1.1852239711757027,0.7960790940710499,100
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,cesaro,0.4604288977148163,0.03331044914339102,0.3718493748582149,0.2832466046066385,100
100,2000,2,40,2.0,22.55,513.7939079090088,1.6255407486852014,oracle,0.24357737377007205,0.029270480332153764,0.16549567399167808,0.14984390515407664,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,MLE,3.825273936626728,0.24129818963862787,3.671931712889301,1.8363674481650483,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,adaptive,0.5039598367205692,0.022827379032531007,0.4594896752214708,0.24193180793538877,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,add-half,0.9585288200046187,0.03186215853430805,0.9342801334107396,0.46015295959085156,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,add-one,1.264137565907138,0.03531703843018063,1.2482373617351197,0.6068640088248384,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,cesaro,0.6363466255268956,0.025689437706908763,0.5930141984763484,0.30548563272248963,100
100,2000,2,40,1.5,19.74,746.5905407028506,2.083065641600788,oracle,0.19250820238198638,0.014140253887873672,0.16647632081124886,0.0924158118387706,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,MLE,3.2270434412685476,0.22465042030167606,2.5342063023955523,1.4206801153471316,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,adaptive,0.5448634051179952,0.040136505136599304,0.42095150673651704,0.23987176476532823,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,add-half,1.3835985477460642,0.05415161220632547,1.1797428743071443,0.6091182161568011,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,add-one,1.7625169566799885,0.05157515946292103,1.5725120964385002,0.7759340209975891,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,cesaro,0.7011915425070109,0.043231139002105,0.5956715384668707,0.30869397937131593,100
100,1000,2,40,2.0,18.69,357.00482968396034,2.2714778692316995,oracle,0.3061629374681011,0.02915768205848373,0.22990930988052255,0.13478578929393534,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,MLE,3.77023929228994,0.3465102881058435,2.803589230979119,1.5094598447042575,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,adaptive,0.7464187330558623,0.07552656927298416,0.5131781688583558,0.2988375584507079,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,add-half,1.9650856054498078,0.06916146349145613,1.7978606642371142,0.786745238929182,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,add-one,2.3836353776652954,0.06281599265735463,2.273926896213986,0.9543165852523126,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,cesaro,0.8864913427287506,0.0711549282083907,0.6963956939560588,0.35491728264130135,100
200,2000,2,40,2.0,21.68,705.6449682910809,2.4977407020911033,oracle,0.3898473940740111,0.03751403149744668,0.26101639914231134,0.15608001012580355,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,MLE,6.174679261718957,0.30973080731788905,6.518224086142908,2.2746617063948404,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,adaptive,0.6732879265581354,0.023296468569053742,0.682271945435641,0.24802944396069254,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,add-half,0.9699817631247366,0.023489780441099013,0.9344636443553106,0.35732712242400094,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,add-one,1.197073362423758,0.027965733779095274,1.1608162095707222,0.4409843526824099,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,cesaro,0.813054169565678,0.02356311785399015,0.7937678698287278,0.29951728767541647,100
100,2000,2,40,1.0,24.06,1152.0103890119206,2.714548385089463,oracle,0.20641677432214117,0.010566191192970888,0.18500528964133134,0.07604092653347136,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,MLE,6.644507263590608,0.5113494522732462,6.699751222943841,2.299623573430649,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,adaptive,0.7213139057961842,0.036084868109384514,0.7317260743021208,0.24964235808749374,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,add-half,1.0500523684072696,0.02706525294311878,1.0217012769101652,0.36341674166838894,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,add-one,1.2618222551584457,0.036520463296938824,1.2149909769933136,0.4367090121704126,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,cesaro,0.8887749693531023,0.03125565523647719,0.8935499665190316,0.30759961422557425,100
100,2000,2,40,0.5,18.77,1286.4889811200044,2.889389089744861,oracle,0.17333622936878829,0.009677171120930415,0.17351360074266964,0.05999061531172814,100
100,1000,2,40,1.5,22.84,519.208895688042,2.91457033720711,MLE,5.864139678542675,0.33627823950278896,5.566924744643309,2.012008289414622,100
100,1000,2,40,1.5,22.84,519.208895688042,2.91457033720711,adaptive,0.7426090206636548,0.03886184712371812,0.6751183987206144,0.2547919366307902,100
100,1000,2,40,1.5,22.84,519.208895688042,2.91457033720711,add-half,1.3145477092348443,0.037081034199705945,1.2757244580175424,0.4510262430291907,100
100,1000,2,40,1.5,22.84,519.208895688042,2.91457033720711,add-one,1.6180059978668229,0.03523618720432954,1.5850194703834906,0.5551439185431629,100
100,1000,2,40,1.5,22.84,519.208895688042,2.91457033720711,cesaro,0.898221109009367,0.04326541312992781,0.8125147043152688,0.30818302702898165,100
