K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,MLE,3.3688775802645545
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,add-one,3.3688775802645545
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,add-half,3.3688775802645545
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,adaptive,3.3688775802645545
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,cesaro,3.3688775802645545
100,1,2,40,2.0,21.65,1.0000000000000013,11.210340371976194,1,support-oracle,1.0662924872705095
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,MLE,3.153869635270924
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,add-one,3.153869635270924
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,add-half,3.153869635270924
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,adaptive,3.153869635270924
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,cesaro,3.153869635270924
100,2,2,40,2.0,21.65,2.0000000000000027,10.517193191416249,1,support-oracle,1.8809039594580352
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,MLE,3.2995485766845376
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,add-one,3.2995485766845376
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,add-half,3.2995485766845376
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,adaptive,3.2995485766845376
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,cesaro,3.2995485766845376
100,3,2,40,2.0,21.65,2.9999999999999996,10.111728083308071,1,support-oracle,1.2593277481579828
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,MLE,3.1917183672211946
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,add-one,3.1917183672211946
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,add-half,3.1917183672211946
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,adaptive,3.1917183672211946
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,cesaro,3.1917183672211946
100,4,2,40,2.0,21.65,4.000000000000005,9.824046010856302,1,support-oracle,1.6775906345914198
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,MLE,3.170858332512659
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,add-one,3.170858332512659
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,add-half,3.170858332512659
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,adaptive,3.170858332512659
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,cesaro,3.170858332512659
100,5,2,40,2.0,21.65,4.999999999999998,9.600902459542079,1,support-oracle,1.784563971392768
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,MLE,3.1591735244139216
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,add-one,3.1591735244139216
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,add-half,3.1591735244139216
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,adaptive,3.1591735244139216
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,cesaro,3.1591735244139216
100,6,2,40,2.0,21.65,5.999999999999999,9.418580902748126,1,support-oracle,1.8498402044301607
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,MLE,3.177318200397811
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,add-one,3.177318200397811
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,add-half,3.177318200397811
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,adaptive,3.177318200397811
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,cesaro,3.177318200397811
100,7,2,40,2.0,21.65,7.000000000000007,9.264430222920877,1,support-oracle,1.7502018447576646
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,MLE,3.6142984872476105
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,add-one,3.6142984872476105
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,add-half,3.6142984872476105
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,adaptive,3.6142984872476105
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,cesaro,3.6142984872476105
100,8,2,40,2.0,21.65,8.00000000000001,9.130898830296356,1,support-oracle,0.6185662136936201
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,MLE,3.1277751963732205
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,add-one,3.1277751963732205
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,add-half,3.1277751963732205
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,adaptive,3.1277751963732205
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,cesaro,3.1277751963732205
100,9,2,40,2.0,21.65,8.999999999999995,9.013115794639958,1,support-oracle,2.0489655350012903
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,MLE,3.1397366505372646
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,add-one,3.1397366505372646
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,add-half,3.1397366505372646
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,adaptive,3.1397366505372646
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,cesaro,3.1397366505372646
100,10,2,40,2.0,21.65,9.999999999999996,8.907755278982135,1,support-oracle,1.968553669034319
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,MLE,3.239825327159345
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,add-one,3.239825327159345
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,add-half,3.239825327159345
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,adaptive,3.239825327159345
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,cesaro,3.239825327159345
100,11,2,40,2.0,21.65,11.000000000000016,8.812445099177824,1,support-oracle,1.467868485227469
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,MLE,3.2180306336416327
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,add-one,3.2180306336416327
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,add-half,3.2180306336416327
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,adaptive,3.2180306336416327
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,cesaro,3.2180306336416327
100,12,2,40,2.0,21.65,11.999999999999998,8.72543372218818,1,support-oracle,1.5572994268199811
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,MLE,9.054699145181647
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,add-one,2.7087847009748294
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,add-half,2.4677226990323295
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,adaptive,0.9649436421639922
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,cesaro,1.0848266652319876
100,13,2,40,2.0,21.65,12.99999999999998,8.645391014514635,1,support-oracle,1.4262688242041688
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,MLE,3.120764812116476
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,add-one,3.120764812116476
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,add-half,3.120764812116476
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,adaptive,3.120764812116476
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,cesaro,3.120764812116476
100,14,2,40,2.0,21.65,14.000000000000014,8.57128304236093,1,support-oracle,2.099113564584494
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,MLE,3.117506471217336
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,add-one,3.117506471217336
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,add-half,3.117506471217336
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,adaptive,3.117506471217336
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,cesaro,3.117506471217336
100,15,2,40,2.0,21.65,14.999999999999998,8.502290170873971,1,support-oracle,2.12325419787347
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,MLE,3.281983524677384
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,add-one,3.281983524677384
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,add-half,3.281983524677384
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,adaptive,3.281983524677384
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,cesaro,3.281983524677384
100,16,2,40,2.0,21.65,16.00000000000002,8.43775164973641,1,support-oracle,1.3158706683045516
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,MLE,3.1648241833932045
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,add-one,3.1648241833932045
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,add-half,3.1648241833932045
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,adaptive,3.1648241833932045
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,cesaro,3.1648241833932045
100,17,2,40,2.0,21.65,17.00000000000002,8.377127027919975,1,support-oracle,1.8177505354265957
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,MLE,3.1114262981587677
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,add-one,3.1114262981587677
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,add-half,3.1114262981587677
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,adaptive,3.1114262981587677
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,cesaro,3.1114262981587677
100,18,2,40,2.0,21.65,17.99999999999999,8.319968614080013,1,support-oracle,2.169817758300322
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,MLE,3.117506471217336
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,add-one,3.117506471217336
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,add-half,3.117506471217336
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,adaptive,3.117506471217336
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,cesaro,3.117506471217336
100,19,2,40,2.0,21.65,18.99999999999998,8.265901392809736,1,support-oracle,2.12325419787347
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,MLE,3.120764812116476
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,add-one,3.120764812116476
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,add-half,3.120764812116476
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,adaptive,3.120764812116476
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,cesaro,3.120764812116476
100,20,2,40,2.0,21.65,19.999999999999993,8.21460809842219,1,support-oracle,2.099113564584494
