K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,MLE,0.155109562135166,0.04083676082398397,0.012275068299004575,0.6516962752773715,50
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,adaptive,0.03755799419867893,0.005353749188982964,0.026294081246106653,0.15780074799540011,50
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,add-half,0.09106828824699836,0.010287289607097743,0.06180700038430524,0.3826254386221329,50
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,add-one,0.15885186850406707,0.016758637265475773,0.11049650994371024,0.6674196587231602,50
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,cesaro,0.07239879221868159,0.006863865517655165,0.05817881107085296,0.3041851358098713,50
100,50000,2,40,2.0,21.65,1649.7897274846423,0.23800897445539196,support-oracle,0.015251201726503953,0.0027368860626834353,0.009429234489295238,0.0640782632730614,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,MLE,0.16027716279491253,0.029699460123027707,0.0943646738539402,0.6324793202997484,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,adaptive,0.04019227080742258,0.0047721859946272096,0.03324151204947616,0.15860512925419062,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,add-half,0.0958960734153776,0.011970579143943397,0.06352659680703113,0.3784212440220336,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,add-one,0.1665828214579793,0.019705181735055047,0.11737905618538347,0.6573624579577435,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,cesaro,0.07941437436953738,0.006483435511607496,0.07244651447066626,0.3133818233826952,50
100,45654,2,40,2.0,21.65,1614.5617917955426,0.25341091423977785,support-oracle,0.01596765696885074,0.0027626662582686144,0.011180884269159714,0.06301092838385845,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,MLE,0.1421722191928862,0.02130582675968278,0.1276777697273979,0.5273343832209637,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,adaptive,0.0392626702121574,0.0033113093808373115,0.03641118004153057,0.14563011042154508,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,add-half,0.08404115225829463,0.007291839915715867,0.06926633587370787,0.3117190506197318,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,add-one,0.14764985121040466,0.012474785589927205,0.12803917924115277,0.5476515993259652,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,cesaro,0.07707913407997107,0.004209229825588469,0.0701291172916097,0.28589606225476516,50
100,41687,2,40,2.0,21.65,1578.5779876617687,0.269605441474339,support-oracle,0.01489067240777671,0.0017771585296919347,0.011122192204614391,0.05523134965802981,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,MLE,0.25984538977871435,0.036472863305436046,0.18456005698445524,0.9064181062376321,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,adaptive,0.05588987581470569,0.00534804751655054,0.045917119957940136,0.19496053186459814,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,add-half,0.11915645350309362,0.013623470420182493,0.08128864840694212,0.4156531967807651,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,add-one,0.2023345746583466,0.02184999119883795,0.14388549879051943,0.7058032553296383,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,cesaro,0.0973066905266781,0.007524257553734756,0.08048039880573148,0.3394347162616775,50
100,38063,2,40,2.0,21.65,1542.186542461725,0.2866727705355344,support-oracle,0.022627580021707127,0.0029449409098331026,0.015061077831056055,0.07893173802114678,50
100,34755,2,40,2.0,21.65,1505.5023245972022,0.3046375751002736,MLE,0.1859144594554286,0.03606894785680803,0.08339820942599645,0.6102807882259224,50
100,34755,2,40,2.0,21.65,1505.5023245972022,0.3046375751002736,adaptive,0.043656414078359455,0.004517337013078789,0.03556179193818276,0.14330607136690093,50
100,34755,2,40,2.0,21.65,1505.5023245972022,0.3046375751002736,add-half,0.11962144374713599,0.01082192088882998,0.09332194949922298,0.3926680538596125,50
