K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,MLE,15.941002230388676
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,add-one,0.9589161771032486
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,add-half,0.9222271326068247
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,adaptive,1.0240749532950049
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,cesaro,1.0228023349195048
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,1,support-oracle,0.1435577786087171
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,MLE,15.63788652317952
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,add-one,2.186740823638738
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,add-half,2.057312285845568
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,adaptive,2.0786120696293073
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,cesaro,1.9300513637720365
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,2,support-oracle,0.33454568810446467
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,MLE,0.06965649952261582
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,add-one,2.1109813558674695
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,add-half,1.6372228352089166
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,adaptive,0.301370989905837
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,cesaro,0.49384317874053457
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,3,support-oracle,0.05207761534386092
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,MLE,17.205753815553972
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,add-one,1.0026458427154001
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,add-half,0.9758830836858994
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,adaptive,1.1559347198738934
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,cesaro,1.1785088871697316
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,4,support-oracle,0.1586832544559758
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,MLE,9.055467454870932
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,add-one,1.462010022691827
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,add-half,1.2972069599769382
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,adaptive,1.0415258829979672
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,cesaro,1.3375682274739944
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,5,support-oracle,0.16580484848583768
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,MLE,17.997014344883418
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,add-one,2.0477935752785528
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,add-half,1.9659222880405758
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,adaptive,1.9360266302328863
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,cesaro,2.06013423873481
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,6,support-oracle,0.13569653798472464
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,7,MLE,7.140561081898797
