K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,MLE,19.1003644518389
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,add-one,3.431156744116773
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,add-half,3.3304276474393752
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,adaptive,3.044724502110464
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,cesaro,3.0035432929551407
100,10,2,10,1.0,5.78,10.000000000000009,8.907755278982142,1,support-oracle,0.3148927465892046
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,MLE,0.03978965246341296
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,add-one,2.0376593443303084
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,add-half,1.5555001837581541
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,adaptive,0.25473085460870015
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,cesaro,0.5396313845622277
100,536,2,10,1.0,5.78,343.0486943262731,3.7240814094455903,1,support-oracle,0.031055484157446092
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,MLE,5.772925306637649
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,add-one,1.9984245998894552
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,add-half,1.6486969829230824
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,adaptive,0.9322116755081011
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,cesaro,0.9934766753807975
100,1062,2,10,1.0,5.78,453.7097342905005,2.539122995865533,1,support-oracle,0.1405128041941549
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,MLE,0.07612318388304623
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,add-one,0.8606310709302893
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,add-half,0.5716299496943754
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,adaptive,0.20473924756581618
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,cesaro,0.45142621862193627
100,1587,2,10,1.0,5.78,504.10768742659775,1.9485687927769846,1,support-oracle,0.05782369779024689
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,MLE,0.018384181610923703
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,add-one,1.3908489481072128
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,add-half,0.9729287896279846
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,adaptive,0.1783391928129266
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,cesaro,0.3522992974358618
100,2113,2,10,1.0,5.78,528.4863727164804,1.5822502702735444,1,support-oracle,0.013513631120074907
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,MLE,0.06048374383439101
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,add-one,0.6909050854247976
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,add-half,0.4406436327796531
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,adaptive,0.1528813581900329
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,cesaro,0.404883666407126
100,2639,2,10,1.0,5.78,542.0955388295266,1.3347199855184828,1,support-oracle,0.0494644819189653
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,MLE,2.174231964687759
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,add-one,1.6360067946333072
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,add-half,1.2464195031415217
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,adaptive,0.4745156937363509
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,cesaro,0.644136401282148
100,3165,2,10,1.0,5.78,550.9352486220286,1.1570535180620138,1,support-oracle,0.0803659336778795
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,MLE,0.03873561040864497
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,add-one,1.0863373867805752
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,add-half,0.7029246395812023
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,adaptive,0.07643058468532783
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,cesaro,0.13744789934017945
100,3691,2,10,1.0,5.78,556.9966670327709,1.0229776585443193,1,support-oracle,0.03904784132137029
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,MLE,0.03558623832352681
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,add-one,1.1405154207179171
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,add-half,0.7458340970595668
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,adaptive,0.07710958422896508
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,cesaro,0.16677372831584297
100,4216,2,10,1.0,5.78,561.4250346243256,0.9183115767804035,1,support-oracle,0.03163350730178929
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,MLE,0.03767764462233429
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,add-one,1.3376684158271357
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,add-half,0.9115182356498313
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,adaptive,0.12168005815195186
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,cesaro,0.2782131986161901
100,4742,2,10,1.0,5.78,564.5988596708538,0.8337207814841886,1,support-oracle,0.03363695189054734
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,MLE,0.1772492267919626
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,add-one,1.081433456807052
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,add-half,0.7748367728168722
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,adaptive,0.3440801611507988
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,cesaro,0.5855911296219172
100,5268,2,10,1.0,5.78,566.8406243750958,0.7639210464270755,1,support-oracle,0.13298288664447716
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,MLE,0.005420913888049973
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,add-one,0.8760332390354605
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,add-half,0.5412976777235241
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,adaptive,0.04791207176759041
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,cesaro,0.14279660091294352
100,5794,2,10,1.0,5.78,568.4533256737557,0.705325597128783,1,support-oracle,0.005957488193947542
100,6319,2,10,1.0,5.78,569.4657447134257,0.6553730954224954,1,MLE,0.05587171485266394
