K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,MLE,18.005401704796835
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,add-one,2.216964820280134
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,add-half,2.121572832755021
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,adaptive,2.1941184715817594
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,cesaro,1.996882537859389
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,1,oracle,0.23217489396305047
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,MLE,0.13902041532780865
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,add-one,1.3872290837230212
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,add-half,1.056619924058955
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,adaptive,0.4495223473009066
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,cesaro,0.595030895759816
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,2,oracle,0.08721936687085166
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,MLE,9.848054724828568
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,add-one,1.7068882065137543
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,add-half,1.5304597536984934
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,adaptive,1.189314684487743
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,cesaro,1.5260060055841471
80,400,2,10,0.0,5.9125,320.9552560870941,4.182780664773919,3,oracle,0.16521880177643505
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,MLE,2.0770154815587047
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,add-one,2.1068109349696744
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,add-half,1.8000626531860473
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,adaptive,0.9101095846223216
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,cesaro,1.820622389729358
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,1,oracle,0.22271305530344726
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,MLE,4.159023359101823
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,add-one,1.8994939020592112
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,add-half,1.5512412670643316
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,adaptive,0.7093316424129492
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,cesaro,0.9352785733034727
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,2,oracle,0.07793552895481105
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,MLE,7.800271539488681e-11
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,add-one,2.378670423446591
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,add-half,1.8839787197187143
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,adaptive,0.27938753261850435
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,cesaro,0.9634918418533459
80,400,2,10,1.0,5.9,243.22552026880314,3.5070320841495923,3,oracle,0.0012474722849326741
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,MLE,20.921504124752957
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,add-one,3.1964232653531393
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,add-half,3.135561188207729
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,adaptive,3.231989400297492
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,cesaro,3.321328510181341
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,1,oracle,1.0073294823584613
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,MLE,3.2142494198960225
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,add-one,3.2142494198960225
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,add-half,3.2142494198960225
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,adaptive,3.2142494198960225
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,cesaro,3.2142494198960145
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,2,oracle,0.9116643269019762
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,MLE,0.01453387440775162
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,add-one,0.8419458399723125
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,add-half,0.5189731534080788
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,adaptive,0.04741150050485929
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,cesaro,0.1449948070656585
80,400,2,10,2.0,5.55,166.37368913565817,2.7148213982606326,3,oracle,0.01154311864322604
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,MLE,9.35787240676476
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,add-one,1.8273517488648912
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,add-half,1.6285085338512824
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,adaptive,1.2721005515532626
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,cesaro,1.5270353926188613
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,1,oracle,0.24221417273139187
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,MLE,4.963053785115265
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,add-one,1.514277999929411
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,add-half,1.2760210644209207
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,adaptive,0.8444814291616064
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,cesaro,1.1359706794807887
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,2,oracle,0.1579906898957095
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,MLE,0.05889151790619185
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,add-one,2.4071750151424576
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,add-half,1.925310151603935
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,adaptive,0.33724705540537603
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,cesaro,0.6200586111897124
80,800,2,10,0.0,5.9875,438.6616611040154,2.895829436940508,3,oracle,0.04257890417015334
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,MLE,0.09510329618024288
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,add-one,1.6052970724345812
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,add-half,1.1428535163998896
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,adaptive,0.1878074751399034
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,cesaro,0.40703035691029665
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,1,oracle,0.09303139190121187
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,MLE,4.58312051515623
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,add-one,1.3426073089915074
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,add-half,1.042787105576875
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,adaptive,0.6273606173451522
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,cesaro,0.711605174719412
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,2,oracle,0.10074387760030512
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,3,MLE,12.920006062028598
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,3,add-one,1.9689553999525922
80,800,2,10,1.0,6.4625,375.7204931048392,2.625804386168403,3,add-half,1.7866864941788165
